from_id,to_id,travel_time
79,993.0,31
79,994.0,31
79,995.0,29
79,996.0,28
79,997.0,30
79,998.0,23
79,999.0,26
79,1000.0,7
79,1001.0,4
79,1002.0,4
79,1003.0,6
79,1004.0,6
79,1005.0,5
79,1006.0,8
79,1007.0,5
79,1008.0,12
79,1009.0,7
79,1010.0,9
79,1011.0,9
79,1012.0,11
79,1013.0,9
79,1014.0,12
79,1015.0,8
79,1016.0,11
79,1017.0,10
79,1018.0,47
79,1019.0,46
79,1020.0,36
79,1021.0,38
79,1022.0,33
79,1023.0,40
79,1024.0,39
79,1025.0,36
79,1026.0,38
79,1027.0,49
79,1028.0,32
79,1029.0,30
79,1030.0,28
79,1031.0,36
79,1032.0,29
79,1033.0,31
79,1034.0,34
79,1035.0,30
79,1036.0,26
79,1037.0,29
79,1038.0,27
79,1039.0,26
79,1040.0,25
79,1041.0,27
79,1042.0,26
79,1043.0,21
79,1044.0,25
79,1045.0,23
79,1046.0,27
79,1047.0,31
79,1048.0,18
79,1049.0,18
79,1050.0,17
79,1051.0,14
79,1052.0,11
79,1053.0,19
79,1054.0,13
79,1055.0,23
79,1056.0,16
79,1057.0,18
79,1058.0,19
79,1059.0,14
79,1060.0,12
79,1061.0,18
79,1062.0,21
79,1063.0,19
79,1064.0,19
79,1065.0,15
79,1066.0,24
79,1067.0,32
79,1068.0,26
79,1069.0,34
79,1070.0,46
79,1071.0,35
79,1072.0,29
79,1073.0,42
79,1074.0,28
86,949.0,7
86,950.0,10
86,951.0,10
86,952.0,10
86,953.0,14
86,954.0,13
86,955.0,11
86,956.0,13
86,957.0,11
86,958.0,10
86,959.0,9
86,960.0,8
86,961.0,9
86,962.0,8
86,963.0,7
86,964.0,4
86,965.0,5
86,966.0,4
86,967.0,3
86,968.0,7
86,969.0,8
86,970.0,9
86,971.0,10
86,972.0,15
86,973.0,13
86,974.0,15
86,975.0,17
86,976.0,16
86,977.0,14
86,978.0,15
86,979.0,17
86,980.0,17
86,981.0,8
86,982.0,18
86,983.0,13
86,984.0,10
86,985.0,9
86,986.0,10
86,987.0,15
86,988.0,14
86,989.0,16
86,990.0,11
86,991.0,15
86,992.0,14
86,993.0,11
86,994.0,11
86,995.0,9
86,996.0,9
86,997.0,10
86,998.0,9
86,999.0,6
86,1000.0,24
86,1001.0,25
86,1002.0,25
86,1003.0,22
86,1004.0,22
86,1005.0,25
86,1006.0,23
86,1007.0,22
86,1008.0,22
86,1009.0,28
86,1010.0,28
86,1011.0,27
86,1012.0,29
86,1013.0,26
86,1014.0,25
86,1015.0,22
86,1016.0,23
86,1017.0,19
86,1018.0,28
86,1019.0,28
86,1020.0,18
86,1021.0,19
86,1022.0,15
86,1023.0,20
86,1024.0,19
86,1025.0,17
86,1026.0,29
86,1027.0,32
86,1028.0,18
86,1029.0,23
86,1030.0,18
86,1031.0,25
86,1032.0,20
86,1033.0,27
86,1034.0,33
86,1035.0,29
86,1036.0,25
86,1037.0,24
86,1038.0,19
86,1039.0,17
86,1040.0,22
86,1041.0,21
86,1042.0,20
86,1043.0,14
86,1044.0,19
86,1045.0,17
86,1046.0,19
86,1047.0,30
86,1048.0,27
86,1049.0,25
86,1050.0,25
86,1051.0,30
86,1052.0,26
86,1053.0,25
86,1054.0,23
86,1055.0,17
86,1056.0,18
86,1057.0,20
86,1058.0,18
86,1059.0,20
86,1060.0,18
86,1061.0,17
86,1062.0,17
86,1063.0,18
86,1064.0,17
86,1065.0,20
86,1066.0,14
86,1067.0,25
86,1068.0,11
86,1069.0,19
86,1070.0,30
86,1071.0,20
86,1072.0,13
86,1073.0,23
86,1074.0,25
110,949.0,33
110,950.0,36
110,951.0,35
110,952.0,34
110,953.0,37
110,954.0,37
110,955.0,34
110,956.0,32
110,957.0,31
110,958.0,32
110,959.0,32
110,960.0,32
110,961.0,35
110,962.0,35
110,963.0,33
110,964.0,31
110,965.0,32
110,966.0,31
110,967.0,31
110,968.0,30
110,969.0,29
110,970.0,28
110,971.0,29
110,972.0,40
110,973.0,38
110,974.0,38
110,975.0,35
110,976.0,34
110,977.0,37
110,978.0,36
110,979.0,38
110,980.0,38
110,981.0,26
110,982.0,32
110,983.0,30
110,984.0,28
110,985.0,27
110,986.0,27
110,987.0,31
110,988.0,33
110,989.0,34
110,990.0,27
110,991.0,27
110,992.0,38
110,993.0,37
110,994.0,36
110,995.0,34
110,996.0,34
110,997.0,36
110,998.0,28
110,999.0,31
110,1000.0,20
110,1001.0,19
110,1002.0,19
110,1003.0,17
110,1004.0,17
110,1005.0,17
110,1006.0,17
110,1007.0,15
110,1008.0,21
110,1009.0,19
110,1010.0,14
110,1011.0,24
110,1012.0,26
110,1013.0,23
110,1014.0,23
110,1015.0,13
110,1016.0,18
110,1017.0,18
110,1018.0,53
110,1019.0,52
110,1020.0,42
110,1021.0,44
110,1022.0,39
110,1023.0,45
110,1024.0,44
110,1025.0,42
110,1026.0,49
110,1027.0,57
110,1028.0,42
110,1029.0,41
110,1030.0,39
110,1031.0,47
110,1032.0,40
110,1033.0,42
110,1034.0,45
110,1035.0,41
110,1036.0,37
110,1037.0,40
110,1038.0,38
110,1039.0,37
110,1040.0,36
110,1041.0,38
110,1042.0,37
110,1043.0,32
110,1044.0,36
110,1045.0,34
110,1046.0,38
110,1047.0,42
110,1048.0,30
110,1049.0,31
110,1050.0,30
110,1051.0,27
110,1052.0,24
110,1053.0,30
110,1054.0,24
110,1055.0,34
110,1056.0,27
110,1057.0,29
110,1058.0,27
110,1059.0,24
110,1060.0,21
110,1061.0,26
110,1062.0,31
110,1063.0,28
