index,OBJECTID,poly_idx,latitude,longitude
1052,1053.0,1053,36.02749641610001,-79.98470213249297
1053,1054.0,1054,36.0129352064661,-79.96777584151064
1054,1055.0,1055,36.062702733521924,-79.93356141444286
1055,1056.0,1056,36.04950631052249,-79.95015890206791
1056,1057.0,1057,36.030094706555595,-79.941049251967
1057,1058.0,1058,36.02169203970204,-79.9324608612686
1058,1059.0,1059,36.00527530372119,-79.93664248127655
1059,1060.0,1060,35.97485135507859,-79.93872047543579
1060,1061.0,1061,36.00177967215594,-79.8902291232992
1061,1062.0,1062,36.04832782579651,-79.90354648142286
1062,1063.0,1063,36.02823681185036,-79.9146709568099
1063,1064.0,1064,36.024345415375095,-79.90141897420052
1064,1065.0,1065,35.93892599251193,-79.9136193704558
1065,1066.0,1066,35.986139514698465,-79.84472465444641
1066,1067.0,1067,35.94450990310069,-79.84633578557607
